CL,Descriptive_JobTitle,skills,primary skills,business_type,req_type,priority,Rec_Status,req_category,HSU,Assigned_HSU,rec_city,positions,Unresponded_Pos_Opcl,Unresponded_Pos_Hold,rejections,max submission,submissions,hits,hires,Sourced,Rec_location,Metro_Area,Total_starts,Total_hires,Total_perm_hires,Total_perm_starts,BD,CLis_missing,Descriptive_JobTitleis_missing,skillsis_missing,primary skillsis_missing,business_typeis_missing,req_typeis_missing,priorityis_missing,Rec_Statusis_missing,req_categoryis_missing,HSUis_missing,Assigned_HSUis_missing,rec_cityis_missing,Rec_locationis_missing,Metro_Areais_missing
3,4268,14289,385,2,4,4,3,1,12,1,498,1,0,0,4,2,5,1,0,11,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2969,6930,1448,2,7,2,1,1,9,2,420,1,0,0,1,2,4,0,0,4,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,979,14003,162,2,1,2,1,1,12,1,373,1,0,0,0,2,1,1,0,3,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2727,2838,1416,2,4,4,3,1,8,2,588,1,1,0,0,2,0,0,0,0,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2894,5303,577,2,4,6,3,1,9,2,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6933,3820,1277,2,4,6,3,1,12,1,498,2,2,0,0,2,0,0,0,4,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5644,3677,1416,2,4,6,3,1,17,1,482,1,1,0,0,2,0,0,0,0,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2697,8311,746,2,4,4,3,1,8,2,106,2,0,0,0,4,1,0,0,2,53,141,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4172,12590,72,2,4,1,3,1,14,1,497,1,1,0,0,2,3,0,0,3,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3323,11919,681,2,4,4,3,1,12,1,81,1,0,0,0,2,3,0,0,9,9,90,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5545,12713,577,2,4,6,3,1,9,1,257,1,0,0,0,2,2,0,0,2,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,114,2269,1974,2,4,6,1,1,12,1,147,1,0,0,0,2,0,0,0,0,19,51,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,6602,10913,385,2,7,3,9,1,12,1,102,1,0,0,4,2,5,2,0,5,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4354,5814,91,2,1,2,3,1,11,2,484,1,0,0,0,2,16,4,0,17,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2721,2691,708,2,7,2,3,1,8,1,29,5,0,0,4,4,23,4,4,65,15,8,2,2,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5030,3607,820,2,4,6,1,1,12,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6319,7511,1416,2,7,2,1,1,14,2,102,1,0,0,0,2,2,0,0,23,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2610,14411,1416,2,4,6,3,1,14,1,109,1,1,0,0,2,0,0,0,11,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2221,4324,1277,2,4,4,3,1,12,1,558,1,0,0,0,2,1,0,0,1,8,112,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,622,4530,1589,2,1,2,9,1,3,2,351,11,0,0,0,22,11,1,0,85,28,104,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1675,15137,48,3,4,6,1,1,12,1,109,1,0,0,0,2,1,0,0,6,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4053,12895,1638,2,4,6,3,1,12,1,102,1,1,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2894,2469,1448,2,1,5,3,1,9,1,99,1,0,0,1,2,1,1,0,0,5,127,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2333,13432,457,2,4,4,3,1,3,2,102,1,0,0,1,2,1,1,1,1,37,30,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,790,13121,1416,2,1,2,3,1,14,2,373,1,1,0,0,2,0,0,0,0,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6790,13557,454,2,4,6,1,1,6,2,373,1,0,0,0,2,1,0,0,1,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,686,16130,1974,2,4,6,1,1,14,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,959,3421,580,2,4,4,1,1,9,1,137,1,0,0,0,2,2,0,0,4,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,275,14751,1416,2,4,4,1,1,14,1,262,1,0,0,0,2,1,0,0,10,27,75,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,7328,16846,1416,2,1,2,1,1,11,2,484,1,0,0,0,2,0,0,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6279,14226,385,2,4,4,1,1,14,1,484,1,0,0,0,2,3,0,0,6,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5833,4775,577,3,1,5,1,1,9,1,423,2,0,0,0,4,0,0,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4427,5126,207,2,4,6,3,1,17,2,482,1,0,0,0,2,6,0,0,2,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6917,7056,1447,2,4,6,3,1,6,1,440,1,0,0,0,2,3,0,0,4,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6927,4568,1277,2,1,2,3,1,6,1,498,2,0,0,1,2,4,1,0,4,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3768,15936,1257,2,4,6,3,1,12,1,5,1,0,0,0,2,2,0,0,4,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2893,9519,577,2,1,5,3,1,9,2,328,3,0,0,2,6,5,2,2,5,53,195,2,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,676,9627,1974,2,1,8,1,1,12,1,484,1,0,0,0,2,0,0,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4597,1554,1362,2,1,2,1,1,16,2,537,2,0,0,0,4,1,0,0,1,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,688,9696,1416,2,4,4,6,1,14,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,7029,2409,577,2,4,6,3,1,9,1,102,1,1,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4289,13838,313,2,4,4,4,1,3,1,349,1,0,1,0,2,0,0,0,0,56,102,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1640,6513,1289,2,1,2,3,1,4,1,552,1,0,0,1,2,3,1,1,4,34,110,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4478,11719,1277,2,4,6,1,1,12,1,498,1,0,0,0,2,0,0,0,0,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1640,13700,318,2,4,6,3,1,4,1,17,1,0,0,0,2,2,0,0,2,15,8,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,688,13470,1416,2,4,4,6,1,14,2,102,1,0,0,0,2,1,0,0,1,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3832,984,385,2,4,4,3,1,12,1,260,1,0,0,0,2,3,0,0,6,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
