Descriptive_JobTitle,CL,skills,rec_city,Rec_location,Actual_billrate,predicted_billrate
Project/Program Manager I,Low,"Management,Microsoft Access,Project Management,WAN",Seattle,Washington,60.18,67.90690000000002
Java Spring Developer,Medium,"Automation,JavaScript,Shell,UNIX",Plano,Texas,65.0,81.10500000000003
C++ Developer,Medium,"LUA,Perl,SAS,SQL,STL",New York,New York,101.67,85.63629999999998
Information Security Analyst,Low,"Active Directory,Cloud Computing,COM,CRM,Focus,Logistics,Management,Microsoft Access,Microsoft Excel,SAP,SOX,Training,WWF",White Plains,New York,75.0,94.89180000000002
Java Developer,Medium,"Architecture,Direct3D,Focus,SOA,Software Development,Management",Charlotte,North Carolina,92.39,92.19950000000006
User Experience Designer III,Medium,"Architecture,Automation,COM,Focus,Graphic Design,Illustrator,Management,Marketing,Photoshop,Product Management,Research,WAN",Seattle,Washington,88.32,84.58139999999999
Silicon Validation & Integration Engineer,Medium,"Architecture,Assembler,Automation,Embedded,Python,Software Engineer",San Diego,California,85.5,87.27220000000001
Info Security Analyst II,Low,"CISSP,LAN,Network Security",Chester,Virginia,70.0,83.49389999999995
Project Manager,High,"Engineering,Management,Microsoft Project,Program Management",SeaTac,Washington,85.5,98.24430000000002
Marketing & Creative Project Manager,Low,"Direct3D,Marketing",Burbank,California,51.29,68.26599999999999
Senior Systems Engineer,Medium,"Engineering,Oracle,RDBMS,Spring,SQL,Tomcat",Irving,Texas,85.5,86.29180000000001
APPS SYSTEMS ENGINEER,Medium,APPS SYSTEMS ENGINEER,Des Moines,Iowa,80.5,80.82600000000001
Technical Lead � Programmer,High,"Compliance,hadoop,Java,Management,Microsoft Access,Microsoft Excel,Microsoft Project,Project Management,Shell,SQL,SQL Server,Teradata",Charlotte,North Carolina,92.39,91.18280000000004
QA Tester,Medium,"Architecture,Management",San Francisco,California,82.23,105.6036
Information Security Access Officer,Low,"Active Directory,AIX,COM,Focus,Linux,Management,Microsoft Access,Powershell,Shell,Solaris,SS7,UNIX,VMS,Windows 2000,Windows 2003,Windows 98",Atlanta,Georgia,55.0,86.07150000000001
STRATEGY CONSULTANT,High,"Architecture, Management, Direct3D",Charlotte,North Carolina,110.75,106.81070000000004
SrPM - IT,Medium,"Business Analyst,Direct3D,Information Security,Microsoft Access,Procurement,Project Management,Risk Management,SDLC",Charlotte,North Carolina,99.73,96.4454
IT Project Manager I,High,"Management,Microsoft Project,Project Management",Chicago,Illinois,110.0,86.58390000000001
GECAN - Lead System Designer III,High,"Architecture,C++,Direct3D,Linux,LoadRunner,Management,Marketing,Networking,Perl,Product Management,Python,Shell,Software Development,Software Testing",Vancouver,British Columbia,130.0,104.377
BIG DATA HADOOP DEVELOPER,Medium,"Architecture,COM,Engineering,Java,Python,SQL,UNIX",Minnetonka,Minnesota,103.83,104.7054
Developer,High,"Other,ADA",Chicago,Illinois,96.93,85.6927
Production Support,Medium,Focus,Charlotte,North Carolina,54.08,70.06239999999997
Java Developer,Medium,"ATM,Hibernate,Java,Spring",Chandler,Arizona,85.5,81.96309999999998
Hadoop Architect,Medium,"Information Management,Java,Management",Charlotte,North Carolina,99.74,95.67209999999996
Business Analyst,High,"Focus,SDLC",New York,New York,85.5,76.04019999999997
UI Developer,Medium,"J2ME,Java,Python,SQL",New York,New York,101.67,120.03339999999996
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Training",Charlotte,North Carolina,66.5,56.99046055088702
Business and Integration Architect,Medium,"Apache,Java,Microsoft Visio,Oracle,Oracle Database,SOA,SOAP,Spring,UML,WebServices",Dallas,Texas,70.0,87.40880000000003
Agile Project Manager I,Medium,"Microsoft Excel,Microsoft Project,Project Management,VSTS",Jackson,Michigan,85.5,82.93190000000003
mobile manual testing,Medium,mobile manual testing,San Francisco,California,83.0,105.3164
Sr. Technical Program Manager,Medium,"Management,Marketing",San Francisco,California,125.0,111.6411
Solutions Architect,Medium,"Architecture,CSS,er,ERP,HTML,Java,Management,Marketing,MySQL,OOP,Oracle,RDBMS,Spring",Pleasanton,California,120.0,104.68539999999996
RF SW Integration Engineer,Medium,"Architecture,DSP,Engineering,Linux,Software Development",San Diego,California,85.5,89.8259
Usability Researcher,Medium,"Automation,hadoop,J2ME,Java,Management,Python",Redmond,Washington,85.5,86.4866
User Experience Designer (UX) I,Medium,"Architecture,COM,Illustrator,Oracle,Photoshop,Research",Seattle,Washington,80.0,87.68540000000002
PEGA Developer,High,SQL,Addison,Texas,104.63,100.9861
Java Develoepr,Medium,"CSS,Python,Shell,Web Design",McLean,Virginia,121.73,116.71599999999992
BUSINESS INITIATIVES CNSLTNT,Medium,"Change Management, Management, Project Management",San Francisco,California,106.75,96.9378
SAP ABAP,High,"ABAP,Cloud Computing,Java,Management,OSS,SAP,SAP ABAP",The Woodlands,Texas,132.7,116.70730000000005
BUSINESS SYSTEMS CONSULTANT 4,Medium,"Change Management,Compliance,Database Management,DB2,Informix,Microsoft Access,Oracle,Project Management,SQL,Sybase,Systems Analysis,Training",Charlotte,North Carolina,57.0,60.78
WEB DEVELOPER 6,Medium,"ASP,C++,CGI,Hibernate,HTML,JavaScript,Multimedia,Oracle,Perl,Quality Assurance,Spring,UNIX,Web Development,XML",Charlotte,North Carolina,80.5,88.1719
Python Developer,Medium,"Java,RDBMS",Milwaukee,Wisconsin,85.5,89.6286
DevOps Engineer,Medium,"Automation,Cisco,DNS,Perl,Python,Ruby,SNMP,VMware",Union,New Jersey,85.5,95.5946
Recruiter II,Medium,"Direct3D,Focus,Management,Microsoft Excel,Microsoft Outlook,Recruiting,Research,Microsoft Office",Seattle,Washington,78.72,78.46850000000008
DevOps Engineer,Medium,Java,Alpharetta,Georgia,75.0,83.7518
BUSINESS SYSTEMS CONSULTANT 4,Medium,"Information Security,Microsoft Excel,Microsoft Office,Microsoft Word,Project Management,Research,Systems Analysis,Technical Support",Charlotte,North Carolina,57.0,61.11679999999999
Paralegal 2,Medium,".NET,COM",Issaquah,Washington,85.5,83.41019999999999
Physical Design Engineer,Medium,"ASIC,Cadence,Engineering,Perl,Shell,Tcl,UNIX",San Diego,California,85.5,84.383
Production Support Engineer,Medium,"Shell,UNIX",Charlotte,North Carolina,69.0,80.00399999999996
Data Engineer,Medium,"Apache,Engineering,ETL,Java,Linux,Python,SAS,Shell,SQL,Teradata,UNIX",Sunnyvale,California,103.95,112.81600000000002
Global Content Strategist,Medium,"Focus,Management,Marketing,Research",New York,New York,105.0,84.10910000000001
IOT BSP SW Engineer,Medium,"Architecture,Device drivers,Embedded,Engineering,Linux,Technical Support,Training,Wireless",San Diego,California,85.5,85.37619999999998
ServiceNowPM,Medium,"ITIL,Management,Project Management,Remedy,Training",Chicago,Illinois,109.0,98.67450000000002
Eloqua Analytics,Medium,Marketing,San Diego,California,85.5,92.48019999999998
QA Functional,Medium,"Architecture,Cloud Computing,DB2,ETL,J2ME,Java,Oracle,Project Management,Research,SOA,Software Testing,SQL,SQL Server,Training,Quality Assurance",Seattle,Washington,78.48,79.7984
.Net Developer,Medium,".NET,AJAX,C#,COM,SOAP,WCF,Windows 2003,Windows 98",Pennington,New Jersey,74.0,88.16510000000004
Technical Lead/Senior Developer,Medium,"Automation,Compliance,CSS,HTML,JavaScript,Management,SOA,SOAP",Lansing,Michigan,115.0,107.75959999999998
Technical Writer,Medium,"C++,CSS,Java,JavaScript,Python,Technical Writer,UNIX",Mountain View,California,66.0,97.9993
Digital SoC DFT Engineer,Medium,"ASIC,SMS",San Diego,California,85.5,84.3591
BUSINESS SYSTEMS CONSULTANT 4,Medium,"Change Management,Compliance,Database Management,DB2,Informix,Microsoft Access,Microsoft Excel,Oracle,Project Management,SQL,Sybase,Systems Analysis,Training",Charlotte,North Carolina,57.0,60.965
Project Control Officer - Senior,Medium,"Architecture,Management,Microsoft Project,Project Management,SOX",Montreal,Quebec,85.5,78.0215
Solutions Architect,Medium,"management,architecture, Compliance",Saint Louis,Missouri,90.0,88.18270000000003
